年月日,気圧,気温,風速(m/s),風向(°)
2023/3/18/21,1008.3,6.3,85.0,2.7,40.0
2023/3/19/9,1015.8,7.5,60.0,1.3,190.0
2023/3/19/21,1016.9,5.9,73.0,1.5,110.0
2023/3/20/9,1018.4,9.3,63.0,1.2,280.0
2023/3/20/21,1016.1,13.6,67.0,3.2,160.0
2023/3/21/9,1015.4,14.8,65.0,1.0,130.0
2023/3/21/21,1013.1,13.7,91.0,1.3,100.0
2023/3/22/9,1014.2,16.0,76.0,1.6,50.0
2023/3/22/21,1016.7,14.3,94.0,1.2,70.0
2023/3/23/9,1015.1,15.3,97.0,0.9,90.0
2023/3/23/21,1002.0,18.9,97.0,4.8,180.0
2023/3/24/9,1001.6,17.8,85.0,1.8,280.0
2023/3/24/21,1010.7,16.2,76.0,2.2,60.0
2023/3/25/9,1015.0,10.3,94.0,2.9,10.0
2023/3/25/21,1016.4,10.5,91.0,1.2,30.0
2023/3/26/9,1012.6,10.4,96.0,2.1,40.0
2023/3/26/21,1002.1,12.3,100.0,2.2,270.0
2023/3/27/9,1011.9,12.1,58.0,1.8,90.0
2023/3/27/21,1017.5,12.3,59.0,1.9,80.0
2023/3/28/9,1020.8,9.2,71.0,2.5,360.0
2023/3/28/21,1020.8,9.6,85.0,1.6,50.0
2023/3/29/9,1020.6,11.1,70.0,0.9,330.0
2023/3/29/21,1019.0,12.2,78.0,2.3,70.0
2023/3/30/9,1019.0,13.4,73.0,1.2,350.0
2023/3/30/21,1016.8,13.3,77.0,1.6,140.0
2023/3/31/9,1016.8,13.4,89.0,1.3,270.0
2023/3/31/21,1013.4,12.8,91.0,1.8,170.0
2023/4/1/9,1014.4,15.5,79.0,1.1,50.0
2023/4/1/21,1014.5,14.0,55.0,2.6,60.0
2023/4/2/9,1016.2,14.1,68.0,3.7,50.0
2023/4/2/21,1017.7,11.3,68.0,2.3,40.0
2023/4/3/9,1020.5,13.8,53.0,3.0,20.0
2023/4/3/21,1021.6,9.9,66.0,1.5,60.0
2023/4/4/9,1023.3,12.9,55.0,2.7,320.0
2023/4/4/21,1022.3,11.2,64.0,1.7,140.0
2023/4/5/9,1021.2,13.5,65.0,1.0,160.0
2023/4/5/21,1018.2,16.7,56.0,3.2,170.0
2023/4/6/9,1014.5,18.2,70.0,5.3,200.0
2023/4/6/21,1012.3,18.2,74.0,6.1,200.0
2023/4/7/9,1009.9,19.4,70.0,8.1,200.0
2023/4/7/21,1003.0,18.0,87.0,6.7,190.0
2023/4/8/9,1001.1,13.5,89.0,3.2,50.0
2023/4/8/21,1004.1,9.3,99.0,1.4,310.0
2023/4/9/9,1013.0,10.7,35.0,3.8,320.0
2023/4/9/21,1016.3,9.0,60.0,1.4,70.0
2023/4/10/9,1017.8,11.7,54.0,1.6,280.0
2023/4/10/21,1014.2,13.6,63.0,1.4,170.0
2023/4/11/9,1015.8,15.3,54.0,1.0,260.0
2023/4/11/21,1011.7,17.9,59.0,6.0,190.0
2023/4/12/9,1006.9,19.6,62.0,7.0,190.0
2023/4/12/21,1007.1,13.3,91.0,2.5,50.0
2023/4/13/9,1016.0,14.3,37.0,1.9,180.0
2023/4/13/21,1016.3,13.1,52.0,1.8,170.0
2023/4/14/9,1015.8,17.1,64.0,2.3,270.0

2023/4/15/9,1010.0,14.2,96.0,0.7,120.0
2023/4/15/21,996.2,13.6,99.0,1.6,10.0
2023/4/16/9,991.1,13.9,97.0,2.1,330.0
2023/4/16/21,996.5,14.7,85.0,2.8,50.0
2023/4/17/9,1003.8,14.2,63.0,1.6,130.0
2023/4/17/21,1014.5,10.0,74.0,1.0,110.0
2023/4/18/9,1018.0,11.5,61.0,0.8,120.0
2023/4/18/21,1011.4,10.2,95.0,1.2,290.0
2023/4/19/9,1007.7,13.5,78.0,1.0,320.0
2023/4/19/21,1008.1,16.1,80.0,2.2,60.0
2023/4/20/9,1009.0,18.8,75.0,1.4,320.0
2023/4/20/21,1005.1,19.4,85.0,2.4,190.0
2023/4/21/9,1002.5,21.4,68.0,2.7,210.0
2023/4/21/21,1002.4,19.0,61.0,4.1,70.0
2023/4/22/9,1009.0,13.8,36.0,1.2,90.0
2023/4/22/21,1014.2,11.6,58.0,2.1,180.0
2023/4/23/9,1019.0,13.8,49.0,0.9,330.0
2023/4/23/21,1017.7,12.1,63.0,1.4,60.0
2023/4/24/9,1021.3,12.5,30.0,1.7,10.0
2023/4/24/21,1021.1,10.9,54.0,1.6,120.0
2023/4/25/9,1022.5,14.1,49.0,2.2,80.0
2023/4/25/21,1018.5,13.8,78.0,1.3,100.0
2023/4/26/9,1007.6,14.1,99.0,1.6,100.0
2023/4/26/21,999.5,15.1,99.0,0.4,150.0
2023/4/27/9,1014.4,15.5,47.0,1.9,340.0
2023/4/27/21,1019.4,14.7,72.0,1.7,150.0
2023/4/28/9,1020.4,17.9,64.0,2.2,250.0
2023/4/28/21,1017.5,16.8,79.0,1.9,180.0
2023/4/29/9,1014.5,20.7,56.0,5.6,190.0
2023/4/29/21,1007.9,19.2,72.0,5.5,190.0
2023/4/30/9,998.4,21.7,91.0,4.6,210.0
2023/4/30/21,1004.0,15.9,94.0,1.9,70.0
2023/4/31/9,998.4,21.7,91.0,4.6,210.0
2023/4/31/21,1004.0,15.9,94.0,1.9,70.0
2023/5/1/9,1008.9,16.6,61.0,1.8,140.0
2023/5/1/21,1009.8,16.7,56.0,3.3,20.0
2023/5/2/9,1017.5,15.9,48.0,0.7,110.0
2023/5/2/21,1022.7,12.8,77.0,1.4,110.0
2023/5/3/9,1023.7,17.4,50.0,1.8,190.0
2023/5/3/21,1020.2,17.3,62.0,1.6,190.0
2023/5/4/9,1019.0,19.4,62.0,2.2,210.0
2023/5/4/21,1014.7,18.3,73.0,2.7,170.0
2023/5/5/9,1013.5,21.0,62.0,2.8,220.0
2023/5/5/21,1008.5,19.7,67.0,3.5,210.0
2023/5/6/9,1004.6,24.0,55.0,4.7,210.0
2023/5/6/21,1002.6,22.0,65.0,5.1,210.0
2023/5/7/9,1005.2,15.2,97.0,3.5,60.0
2023/5/7/21,1004.6,11.6,97.0,4.2,70.0
2023/5/8/9,998.1,10.6,99.0,1.8,30.0
2023/5/8/21,1010.4,9.7,100.0,1.0,70.0
2023/5/9/9,1015.2,14.3,48.0,2.5,60.0
2023/5/9/21,1013.4,10.9,86.0,1.8,50.0
2023/5/10/9,1011.6,17.4,53.0,0.7,320.0
2023/5/10/21,1013.2,15.7,79.0,1.5,50.0
2023/5/11/9,1016.1,17.7,52.0,2.8,80.0
2023/5/11/21,1017.3,11.6,74.0,1.3,120.0
2023/5/12/9,1019.1,16.7,51.0,3.1,70.0
2023/5/12/21,1018.6,15.5,68.0,2.3,80.0
2023/5/13/9,1018.4,16.3,85.0,1.1,70.0
2023/5/13/21,1017.2,14.4,93.0,1.8,140.0
2023/5/14/9,1015.7,17.3,73.0,3.0,150.0
2023/5/14/21,1012.1,17.6,76.0,1.4,100.0
2023/5/15/9,1009.6,17.9,77.0,1.3,150.0
2023/5/15/21,1007.8,14.6,99.0,1.8,20.0
2023/5/16/9,1008.9,20.6,58.0,1.9,30.0
2023/5/16/21,1010.3,17.3,78.0,1.8,70.0
2023/5/17/9,1011.1,21.3,67.0,1.1,160.0
2023/5/17/21,1010.9,20.9,80.0,1.9,170.0
2023/5/18/9,1013.1,25.1,52.0,1.8,310.0
2023/5/18/21,1009.3,23.9,54.0,4.0,180.0
2023/5/19/9,1009.2,23.1,71.0,5.0,190.0
2023/5/19/21,1007.0,16.7,99.0,0.5,230.0
2023/5/20/9,1005.2,17.8,96.0,2.6,50.0
2023/5/20/21,1008.0,17.2,84.0,2.1,60.0
2023/5/21/9,1006.9,20.5,78.0,0.8,190.0
2023/5/21/21,1003.3,19.9,90.0,2.3,170.0
2023/5/22/9,1002.0,23.0,76.0,0.8,50.0
2023/5/22/21,1003.9,14.4,84.0,3.6,20.0
2023/5/23/9,1001.9,12.8,96.0,2.8,10.0
2023/5/23/21,1000.6,13.0,91.0,2.9,20.0
2023/5/24/9,1005.9,17.4,68.0,1.8,320.0
2023/5/24/21,1014.1,16.1,75.0,1.6,110.0
2023/5/25/9,1020.3,17.7,65.0,1.8,270.0
2023/5/25/21,1021.8,18.3,69.0,2.6,170.0
2023/5/26/9,1022.9,20.3,62.0,3.0,190.0
2023/5/26/21,1021.0,16.3,86.0,1.8,130.0
2023/5/27/9,1021.1,21.7,63.0,2.1,160.0
2023/5/27/21,1020.0,20.1,72.0,2.2,180.0
2023/5/28/9,1017.5,21.3,67.0,2.5,190.0
2023/5/28/21,1012.4,20.4,80.0,2.0,170.0
2023/5/29/9,1008.6,18.8,95.0,1.7,30.0
2023/5/29/21,1006.3,19.4,100.0,1.5,280.0
2023/5/30/9,1005.3,21.2,91.0,0.5,80.0
2023/5/30/21,1006.5,20.6,84.0,1.8,130.0
2023/5/31/9,1009.6,18.2,62.0,1.8,40.0
2023/5/31/21,1010.2,15.0,91.0,1.3,100.0
2023/6/1/9,1012.0,23.1,53.0,3.0,150.0

2023/6/2/9,1002.3,20.2,99.0,1.9,120.0
2023/6/2/21,994.5,22.1,97.0,4.2,190.0
2023/6/3/9,996.0,18.1,97.0,2.7,120.0
2023/6/3/21,1000.2,16.5,100.0,0.7,120.0
2023/6/4/9,1005.9,21.6,59.0,2.3,240.0
2023/6/4/21,1004.9,18.1,90.0,0.7,150.0
2023/6/5/9,1006.1,22.7,68.0,1.2,240.0
2023/6/5/21,1006.9,21.2,53.0,2.1,160.0
2023/6/6/9,1006.8,21.6,67.0,0.5,70.0
2023/6/6/21,1006.2,18.9,79.0,3.8,190.0
2023/6/7/9,1004.8,20.9,75.0,2.3,340.0
2023/6/7/21,1007.6,20.3,71.0,1.6,110.0
2023/6/8/9,1010.0,23.9,60.0,1.9,80.0
2023/6/8/21,1009.5,21.0,82.0,2.2,110.0
2023/6/9/9,1000.5,20.7,99.0,0.9,90.0
2023/6/9/21,1004.1,21.7,95.0,1.9,60.0
2023/6/10/9,1009.0,22.4,79.0,0.5,260.0
2023/6/10/21,1010.7,20.2,92.0,0.6,170.0
2023/6/11/9,1010.5,19.9,98.0,1.0,40.0
2023/6/11/21,1008.5,20.0,95.0,1.1,60.0
2023/6/12/9,1007.4,20.2,98.0,1.8,50.0
2023/6/12/21,1003.5,19.8,99.0,1.8,50.0
2023/6/13/9,1000.6,21.4,94.0,2.1,70.0
2023/6/13/21,1003.6,22.9,85.0,1.4,70.0
2023/6/14/9,1004.7,24.0,91.0,1.5,170.0
2023/6/14/21,1004.0,21.4,90.0,1.6,50.0
2023/6/15/9,1004.7,21.8,90.0,1.4,340.0
2023/6/15/21,1003.4,20.2,97.0,2.3,70.0
2023/6/16/9,1003.2,22.7,89.0,1.8,250.0
2023/6/16/21,1008.3,20.0,88.0,1.7,140.0
2023/6/17/9,1010.9,24.3,60.0,2.5,280.0
2023/6/17/21,1007.5,23.7,69.0,1.7,190.0
2023/6/18/9,1004.5,26.4,64.0,1.4,240.0
2023/6/18/21,1000.9,23.6,83.0,2.1,150.0
2023/6/19/9,1001.6,22.9,71.0,3.6,40.0
2023/6/19/21,1005.2,20.1,68.0,2.5,60.0
2023/6/20/9,1009.1,21.2,70.0,1.5,70.0
2023/6/20/21,1010.5,20.9,74.0,2.0,140.0
2023/6/21/9,1011.2,22.6,71.0,1.8,150.0
2023/6/21/21,1009.7,20.6,75.0,1.7,140.0
2023/6/22/9,1008.4,21.3,78.0,1.1,170.0
2023/6/22/21,1005.9,17.1,99.0,2.3,350.0
2023/6/23/9,1005.2,19.7,90.0,0.6,240.0
2023/6/23/21,1007.8,20.4,98.0,0.9,70.0
2023/6/24/9,1010.4,25.3,70.0,1.0,230.0
2023/6/24/21,1011.6,23.8,78.0,1.3,100.0
2023/6/25/9,1012.8,25.3,76.0,0.9,190.0
2023/6/25/21,1012.1,24.0,84.0,1.8,120.0
2023/6/26/9,1012.7,25.0,77.0,1.5,120.0
2023/6/26/21,1011.8,24.2,82.0,2.0,130.0
2023/6/27/9,1011.9,25.2,81.0,2.0,140.0
2023/6/27/21,1011.5,24.8,82.0,1.6,180.0
2023/6/28/9,1009.2,26.8,80.0,0.5,130.0
2023/6/28/21,1004.9,22.0,92.0,4.7,310.0
2023/6/29/9,1004.3,25.2,80.0,0.7,280.0
2023/6/29/21,1004.0,25.5,77.0,1.8,110.0
2023/6/30/9,1002.6,26.8,85.0,1.3,210.0
2023/6/30/21,1000.4,26.7,81.0,2.4,210.0
2023/6/31/9,1002.6,26.8,85.0,1.3,210.0
2023/6/31/21,1000.4,26.7,81.0,2.4,210.0
2023/7/1/9,1000.5,28.3,82.0,3.2,190.0
2023/7/1/21,1002.0,25.6,89.0,1.3,200.0
2023/7/2/9,1005.7,26.9,69.0,1.1,10.0
2023/7/2/21,1006.5,24.3,75.0,1.9,140.0
2023/7/3/9,1004.5,27.2,71.0,0.9,30.0
2023/7/3/21,1002.3,26.0,80.0,1.7,60.0
2023/7/4/9,1002.1,25.6,66.0,2.9,70.0
2023/7/4/21,1003.3,23.4,82.0,1.3,100.0
2023/7/5/9,1002.5,24.4,80.0,2.3,140.0
2023/7/5/21,1000.7,24.2,84.0,2.4,160.0
2023/7/6/9,999.3,22.5,97.0,2.6,350.0
2023/7/6/21,1002.7,25.1,90.0,1.5,110.0
2023/7/7/9,1006.1,29.0,76.0,1.6,230.0
2023/7/7/21,1007.1,26.7,77.0,3.5,180.0
2023/7/8/9,1004.2,24.4,96.0,1.5,20.0
2023/7/8/21,1003.7,26.5,87.0,1.7,250.0
2023/7/9/9,1003.6,27.0,87.0,1.6,260.0
2023/7/9/21,1002.3,27.0,85.0,2.8,170.0
2023/7/10/9,1003.8,29.8,76.0,2.5,160.0
2023/7/10/21,1004.3,28.0,68.0,2.0,70.0
2023/7/11/9,1006.0,29.9,68.0,1.9,180.0
2023/7/11/21,1005.1,25.8,84.0,2.0,70.0
2023/7/12/9,1003.7,29.4,72.0,1.9,260.0
2023/7/12/21,1002.2,24.6,99.0,0.8,150.0
2023/7/13/9,1003.5,25.9,78.0,1.3,290.0
2023/7/13/21,1004.1,26.3,81.0,1.8,150.0
2023/7/14/9,1007.1,24.8,83.0,0.9,280.0
2023/7/14/21,1007.2,25.6,91.0,1.7,50.0
2023/7/15/9,1005.3,26.9,85.0,2.5,180.0
2023/7/15/21,1006.1,27.2,81.0,2.9,190.0
2023/7/16/9,1006.9,29.8,69.0,1.7,260.0
2023/7/16/21,1008.6,27.7,80.0,1.0,170.0
2023/7/17/9,1011.2,30.7,66.0,1.6,80.0
2023/7/17/21,1011.1,28.7,65.0,2.2,140.0
2023/7/18/9,1010.4,32.1,63.0,0.8,250.0
2023/7/18/21,1007.8,27.1,83.0,2.3,120.0
2023/7/19/9,1004.4,28.9,78.0,1.4,130.0
2023/7/19/21,999.4,26.5,85.0,2.6,60.0
2023/7/20/9,1003.5,27.7,67.0,1.4,30.0
2023/7/20/21,1007.5,24.4,83.0,1.7,70.0
2023/7/21/9,1011.6,25.5,78.0,1.8,30.0
2023/7/21/21,1014.3,24.5,82.0,1.3,70.0
2023/7/22/9,1015.7,26.4,69.0,1.8,80.0
2023/7/22/21,1016.1,23.8,85.0,1.1,60.0
2023/7/23/9,1015.0,26.3,71.0,1.3,340.0
2023/7/23/21,1013.6,24.5,78.0,2.5,140.0
2023/7/24/9,1012.5,27.9,71.0,1.2,140.0
2023/7/24/21,1012.4,25.9,79.0,1.2,170.0
2023/7/25/9,1012.7,29.0,72.0,1.6,290.0
2023/7/25/21,1012.7,27.9,72.0,1.9,170.0
2023/7/26/9,1014.0,30.6,64.0,1.0,240.0
2023/7/26/21,1013.0,29.1,64.0,2.0,170.0
2023/7/27/9,1012.8,30.7,68.0,1.1,180.0
2023/7/27/21,1012.7,28.7,72.0,3.0,180.0
2023/7/28/9,1013.2,30.5,71.0,1.4,260.0
2023/7/28/21,1013.8,28.2,71.0,2.2,190.0
2023/7/29/9,1014.4,30.7,67.0,1.6,170.0
2023/7/29/21,1013.6,27.9,74.0,2.8,190.0
2023/7/30/9,1013.3,30.4,63.0,1.7,260.0
2023/7/30/21,1012.5,28.9,73.0,4.4,190.0
2023/7/31/9,1011.0,31.1,68.0,2.9,210.0
2023/7/31/21,1010.5,28.7,77.0,3.1,190.0
2023/8/1/9,1011.5,28.2,85.0,2.3,360.0
2023/8/1/21,1011.0,23.3,93.0,1.5,350.0
2023/8/2/9,1010.1,28.6,69.0,2.1,250.0
2023/8/2/21,1008.7,28.6,72.0,3.1,170.0
2023/8/3/9,1008.3,30.2,69.0,2.6,200.0
2023/8/3/21,1006.5,27.9,78.0,2.8,170.0
2023/8/4/9,1005.3,30.7,70.0,1.8,270.0
2023/8/4/21,1003.6,29.4,73.0,2.6,180.0
2023/8/5/9,1002.6,31.4,66.0,1.8,260.0
2023/8/5/21,1002.6,28.7,78.0,2.4,190.0
2023/8/6/9,1002.1,30.5,67.0,3.5,170.0
2023/8/6/21,1002.4,27.0,85.0,2.6,150.0
2023/8/7/9,1004.0,30.2,71.0,3.0,180.0
2023/8/7/21,1005.6,27.5,85.0,2.7,150.0
2023/8/8/9,1006.0,29.1,80.0,2.1,90.0
2023/8/8/21,1008.3,27.9,85.0,2.4,130.0
2023/8/9/9,1009.6,29.0,81.0,2.3,160.0
2023/8/9/21,1011.5,27.0,93.0,2.4,130.0
2023/8/10/9,1011.1,29.2,70.0,3.3,160.0
2023/8/10/21,1009.5,27.4,86.0,2.1,100.0
2023/8/11/9,1007.0,28.0,80.0,2.2,20.0
2023/8/11/21,1003.8,26.8,85.0,2.0,60.0
2023/8/12/9,1002.1,29.0,70.0,1.3,180.0
2023/8/12/21,1002.3,27.5,84.0,2.0,100.0
2023/8/13/9,1002.7,28.8,82.0,1.8,10.0
2023/8/13/21,1003.0,26.7,96.0,1.5,80.0
2023/8/14/9,1002.9,29.7,82.0,2.0,80.0
2023/8/14/21,1003.4,27.3,92.0,1.9,100.0
2023/8/15/9,1003.5,28.6,89.0,3.3,140.0
2023/8/15/21,1003.9,27.7,88.0,3.0,150.0
2023/8/16/9,1003.6,29.7,72.0,4.8,160.0
2023/8/16/21,1003.8,27.9,82.0,3.0,150.0
2023/8/17/9,1005.0,30.1,77.0,1.8,170.0
